Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,80460,101802,21.0
2,1,69456,94644,26.6
3,2,119724,120000,0.2
4,3,118800,120000,1.0
5,4,105414,112362,6.2
6,5,99810,109464,8.8
7,6,43548,64992,33.0
8,7,108084,112308,3.8
9,8,72288,93924,23.0
10,9,71808,92460,22.3
11,10,53496,79092,32.4
12,11,83532,101754,17.9
13,12,117456,120000,2.1
14,13,56814,80508,29.4
15,14,102648,109284,6.1
16,16,76380,97602,21.7
17,17,68292,87648,22.1
18,18,112392,116454,3.5
19,19,88272,100806,12.4
20,20,52416,78204,33.0
21,21,111540,113028,1.3
22,22,68364,91116,25.0
23,24,75516,95508,20.9
24,25,98964,105882,6.5
25,26,114870,119580,3.9
26,27,111852,115944,3.5
27,28,99966,106950,6.5
28,29,105054,109428,4.0
29,30,105552,109320,3.4
30,31,115836,120000,3.5
31,32,36060,50892,29.1
32,33,101160,108348,6.6
33,34,62976,79620,20.9
34,35,115578,115578,0.0
35,36,104772,110298,5.0
36,37,54846,78432,30.1
37,38,81834,99630,17.9
38,39,87234,100824,13.5
39,40,116790,120000,2.7
40,41,104952,108192,3.0
41,42,54948,77772,29.3
42,43,112836,118872,5.1
43,44,38058,53016,28.2
44,45,88380,100890,12.4
45,46,96480,103896,7.1
46,47,85698,98646,13.1
47,48,82812,96912,14.5
48,49,35544,49368,28.0
49,50,84444,99438,15.1
50,51,50892,71832,29.2
51,52,72156,88860,18.8
52,53,100932,105576,4.4
53,54,27996,37416,25.2
54,55,92208,103296,10.7
55,56,28188,43032,34.5
56,57,104490,109788,4.8
57,58,69048,90072,23.3
58,59,92880,102762,9.6
59,60,113088,117738,3.9
60,61,78042,94560,17.5
61,62,80370,97740,17.8
62,63,49218,70308,30.0
63,64,68046,86388,21.2
64,65,105360,111792,5.8
65,66,87390,100620,13.1
66,67,109158,112338,2.8
67,68,63972,82392,22.4
68,69,78528,92880,15.5
69,70,109398,120000,8.8
70,71,101802,105636,3.6
71,72,116844,120000,2.6
72,73,103206,107550,4.0
73,74,89142,99840,10.7
74,75,96534,106806,9.6
75,76,92178,99264,7.1
76,77,87252,99660,12.5
77,78,61284,79044,22.5
78,79,56340,75624,25.5
79,80,49716,67236,26.1
80,81,95136,102096,6.8
81,82,104088,120000,13.3
82,83,87996,95388,7.7
83,84,103272,109410,5.6
84,85,109572,111192,1.5
85,86,71976,90414,20.4
86,87,68598,88392,22.4
87,88,72804,91728,20.6
88,89,97392,103752,6.1
89,90,81372,97404,16.5
90,91,87378,99960,12.6
91,92,100410,105528,4.8
92,93,68112,84660,19.5
93,94,109236,111546,2.1
94,95,101130,104658,3.4
95,96,92544,100824,8.2
96,97,75126,87408,14.1
97,98,97692,103872,5.9
98,99,70398,86520,18.6
99,100,60594,79842,24.1
100,101,60402,77796,22.4
101,102,55128,74544,26.0
102,103,100332,112080,10.5
103,104,75132,87528,14.2
104,105,68394,84996,19.5
105,106,106866,109794,2.7
106,107,73902,87816,15.8
107,108,105888,115404,8.2
108,109,94632,103998,9.0
109,110,29802,37356,20.2
110,111,22926,29760,23.0
111,112,89760,99438,9.7
112,113,96648,100806,4.1
113,114,55068,72468,24.0
114,115,92352,99402,7.1
115,116,94176,100242,6.1
116,117,87324,93516,6.6
117,118,94584,111792,15.4
118,119,87240,99528,12.3
119,120,49158,73692,33.3
120,121,65124,85764,24.1
121,122,115512,120000,3.7
122,123,77868,95172,18.2
123,124,81876,97488,16.0
124,125,109578,115224,4.9
125,126,91068,101886,10.6
126,127,111180,116688,4.7
127,128,106194,110316,3.7
128,129,95052,100458,5.4
129,130,109710,112854,2.8
130,131,85236,98178,13.2
131,132,110688,116616,5.1
132,133,79362,91224,13.0
133,134,100572,109398,8.1
134,135,79056,94224,16.1
135,137,72462,88392,18.0
136,138,100404,109086,8.0
137,139,100362,112260,10.6
138,140,77364,88476,12.6
139,141,82356,95124,13.4
140,142,108030,120000,10.0
141,143,46188,60924,24.2
142,144,101934,110556,7.8
143,145,82398,90588,9.0
144,146,96792,108180,10.5
