comboID,dif_Felix1,dif_Felix2,dif_Felix3,dif_Felix4,dif_Felix5,mean,median,range,std_dev
0,18.36,25.25,31.7,1.2,21.0,19.502000000000002,20.251,30.5,9.446163876523785
1,25.619999999999997,5.45,12.8,7.2,26.6,15.534,14.167000000000002,21.150000000000002,7.873577103878153
2,4.6,10.7,36.8,26.6,0.2,15.779999999999998,13.239999999999998,36.599999999999994,13.890398533828012
3,15.86,20.35,20.9,16.3,1.0,14.882,16.08,19.9,6.364838411146036
4,16.740000000000002,4.25,1.1,17.5,6.2,9.158000000000001,7.679,16.4,6.271565808984912
5,23.6,12.399999999999999,25.7,2.6,8.8,14.62,13.509999999999998,23.099999999999998,8.044882024350281
6,21.06,18.7,9.8,23.2,33.0,21.152,21.106,23.2,6.360070748708022
7,14.0,1.4500000000000002,6.6,17.3,3.8,8.629999999999999,7.614999999999999,15.850000000000001,5.748961047441529
8,14.780000000000001,15.850000000000001,2.9,2.7,23.0,11.846,13.313,20.3,7.30998578144992
9,15.479999999999999,17.45,4.1,5.6,22.3,12.986,14.233,18.200000000000003,6.209838505779127
10,5.6000000000000005,17.1,31.6,26.0,32.4,22.540000000000003,24.270000000000003,26.799999999999997,8.65602587383907
11,15.9,9.85,10.9,28.4,17.9,16.589999999999996,16.244999999999997,18.549999999999997,5.645562060782154
12,2.733333333333333,24.15,3.7,20.5,2.1,10.636666666666667,7.168333333333333,22.049999999999997,9.240851522189864
13,18.599999999999998,9.6,0.7,5.8,29.4,12.819999999999999,11.209999999999999,28.7,10.310607488684374
14,28.7,3.1500000000000004,19.7,33.6,6.1,18.25,18.975,30.450000000000003,11.026226344979243
15,20.866666666666667,28.2,27.6,12.2,,22.216666666666665,22.216666666666665,16.0,5.774406449261243
16,9.799999999999999,5.3500000000000005,3.2,2.6,21.7,8.53,6.9399999999999995,19.099999999999998,7.100512556951685
17,14.9,18.45,10.6,31.2,22.1,19.45,18.95,20.6,5.935723418421717
18,7.2,16.9,18.2,21.4,3.5,13.439999999999998,15.169999999999998,17.9,6.021710572112023
19,12.633333333333333,13.1,9.3,22.3,12.4,13.946666666666667,12.866666666666667,13.0,3.7369336381414398
20,18.900000000000002,23.85,8.6,17.1,33.0,20.29,19.595,24.4,6.958030785410071
21,20.133333333333336,1.7999999999999998,35.4,0.1,1.3,11.746666666666666,6.773333333333333,35.3,14.686591201198155
22,12.0,19.05,12.4,34.1,25.0,20.51,19.78,22.1,7.052259516333351
23,25.55,13.6,26.9,22.8,,22.2125,22.8,13.299999999999999,5.439192402194947
24,15.25,29.2,1.6,15.1,20.9,16.410000000000004,15.830000000000002,27.599999999999998,8.599194210589069
25,4.6,31.9,11.5,16.2,6.5,14.14,12.82,27.299999999999997,9.512524075434147
26,30.1,12.7,2.9,3.5,3.9,10.62,7.26,27.200000000000003,10.71439585657673
27,11.0,9.8,17.9,14.3,3.5,11.3,11.15,14.399999999999999,4.2136629382454
28,19.4,30.6,13.1,14.2,6.5,16.759999999999998,15.479999999999999,24.1,7.315888287048363
29,16.8,24.5,5.7,7.2,4.0,11.64,9.42,20.5,7.3996988355704625
