Simulation Number,comboID,Week,Price,Sales,Remaining Inventory,run_id
1,0,1,60,82,1918,Felix1
1,0,2,60,78,1840,Felix1
1,0,3,60,60,1780,Felix1
1,0,4,60,79,1701,Felix1
1,0,5,60,85,1616,Felix1
1,0,6,60,53,1563,Felix1
1,0,7,60,87,1476,Felix1
1,0,8,60,53,1423,Felix1
1,0,9,60,23,1400,Felix1
1,0,10,60,49,1351,Felix1
1,0,11,60,112,1239,Felix1
1,0,12,60,89,1150,Felix1
1,0,13,60,71,1079,Felix1
1,0,14,60,47,1032,Felix1
1,0,15,60,103,929,Felix1
2,1,1,60,54,1946,Felix1
2,1,2,60,78,1868,Felix1
2,1,3,60,59,1809,Felix1
2,1,4,60,57,1752,Felix1
2,1,5,60,27,1725,Felix1
2,1,6,60,47,1678,Felix1
2,1,7,60,52,1626,Felix1
2,1,8,60,55,1571,Felix1
2,1,9,60,72,1499,Felix1
2,1,10,60,40,1459,Felix1
2,1,11,60,56,1403,Felix1
2,1,12,60,56,1347,Felix1
2,1,13,60,54,1293,Felix1
2,1,14,60,45,1248,Felix1
2,1,15,54,88,1160,Felix1
3,2,1,60,107,1893,Felix1
3,2,2,60,86,1807,Felix1
3,2,3,60,127,1680,Felix1
3,2,4,60,52,1628,Felix1
3,2,5,60,129,1499,Felix1
3,2,6,60,102,1397,Felix1
3,2,7,60,125,1272,Felix1
3,2,8,60,66,1206,Felix1
3,2,9,60,130,1076,Felix1
3,2,10,60,105,971,Felix1
3,2,11,60,74,897,Felix1
3,2,12,60,118,779,Felix1
3,2,13,60,116,663,Felix1
3,2,14,60,134,529,Felix1
3,2,15,48,285,244,Felix1
4,3,1,60,106,1894,Felix1
4,3,2,60,83,1811,Felix1
4,3,3,60,112,1699,Felix1
4,3,4,60,41,1658,Felix1
4,3,5,60,122,1536,Felix1
4,3,6,60,67,1469,Felix1
4,3,7,60,106,1363,Felix1
4,3,8,60,111,1252,Felix1
4,3,9,60,104,1148,Felix1
4,3,10,60,130,1018,Felix1
4,3,11,60,41,977,Felix1
4,3,12,60,112,865,Felix1
4,3,13,60,63,802,Felix1
4,3,14,60,100,702,Felix1
4,3,15,36,392,310,Felix1
5,4,1,60,44,1956,Felix1
5,4,2,60,25,1931,Felix1
5,4,3,60,50,1881,Felix1
5,4,4,60,43,1838,Felix1
5,4,5,60,41,1797,Felix1
5,4,6,60,32,1765,Felix1
5,4,7,60,46,1719,Felix1
5,4,8,60,61,1658,Felix1
5,4,9,60,31,1627,Felix1
5,4,10,60,35,1592,Felix1
5,4,11,60,52,1540,Felix1
5,4,12,60,58,1482,Felix1
5,4,13,60,47,1435,Felix1
5,4,14,54,45,1390,Felix1
5,4,15,54,61,1329,Felix1
6,5,1,60,44,1956,Felix1
6,5,2,60,40,1916,Felix1
6,5,3,60,34,1882,Felix1
6,5,4,60,48,1834,Felix1
6,5,5,60,31,1803,Felix1
6,5,6,60,39,1764,Felix1
6,5,7,60,44,1720,Felix1
6,5,8,60,35,1685,Felix1
6,5,9,60,46,1639,Felix1
6,5,10,60,33,1606,Felix1
6,5,11,60,59,1547,Felix1
6,5,12,60,43,1504,Felix1
6,5,13,60,30,1474,Felix1
6,5,14,54,75,1399,Felix1
6,5,15,48,100,1299,Felix1
7,6,1,60,11,1989,Felix1
7,6,2,60,6,1983,Felix1
7,6,3,60,11,1972,Felix1
7,6,4,60,15,1957,Felix1
7,6,5,60,10,1947,Felix1
7,6,6,60,7,1940,Felix1
7,6,7,60,18,1922,Felix1
7,6,8,60,7,1915,Felix1
7,6,9,60,11,1904,Felix1
7,6,10,60,12,1892,Felix1
7,6,11,60,8,1884,Felix1
7,6,12,60,7,1877,Felix1
7,6,13,60,11,1866,Felix1
7,6,14,54,12,1854,Felix1
7,6,15,36,34,1820,Felix1
8,7,1,60,116,1884,Felix1
8,7,2,60,170,1714,Felix1
8,7,3,60,76,1638,Felix1
8,7,4,60,171,1467,Felix1
8,7,5,60,165,1302,Felix1
8,7,6,60,126,1176,Felix1
8,7,7,60,150,1026,Felix1
8,7,8,60,118,908,Felix1
8,7,9,60,95,813,Felix1
8,7,10,60,129,684,Felix1
8,7,11,60,108,576,Felix1
8,7,12,60,105,471,Felix1
8,7,13,60,99,372,Felix1
8,7,14,48,178,194,Felix1
8,7,15,48,117,77,Felix1
9,8,1,60,71,1929,Felix1
9,8,2,60,61,1868,Felix1
9,8,3,60,78,1790,Felix1
9,8,4,60,52,1738,Felix1
9,8,5,60,63,1675,Felix1
9,8,6,60,75,1600,Felix1
9,8,7,60,67,1533,Felix1
9,8,8,60,60,1473,Felix1
9,8,9,60,53,1420,Felix1
9,8,10,60,46,1374,Felix1
9,8,11,60,69,1305,Felix1
9,8,12,60,70,1235,Felix1
9,8,13,60,62,1173,Felix1
9,8,14,48,74,1099,Felix1
9,8,15,36,152,947,Felix1
10,9,1,60,104,1896,Felix1
10,9,2,60,84,1812,Felix1
10,9,3,60,136,1676,Felix1
10,9,4,60,124,1552,Felix1
10,9,5,60,93,1459,Felix1
10,9,6,60,23,1436,Felix1
10,9,7,60,91,1345,Felix1
10,9,8,60,107,1238,Felix1
10,9,9,60,152,1086,Felix1
10,9,10,60,102,984,Felix1
10,9,11,60,47,937,Felix1
10,9,12,60,72,865,Felix1
10,9,13,60,96,769,Felix1
10,9,14,36,396,373,Felix1
10,9,15,36,293,80,Felix1
11,10,1,60,163,1837,Felix1
11,10,2,60,153,1684,Felix1
11,10,3,60,156,1528,Felix1
11,10,4,60,214,1314,Felix1
11,10,5,60,190,1124,Felix1
11,10,6,60,109,1015,Felix1
11,10,7,60,162,853,Felix1
11,10,8,60,225,628,Felix1
11,10,9,60,162,466,Felix1
11,10,10,60,175,291,Felix1
11,10,11,60,166,125,Felix1
11,10,12,60,114,11,Felix1
11,10,13,54,11,0,Felix1
11,10,14,54,0,0,Felix1
11,10,15,54,0,0,Felix1
12,11,1,60,109,1891,Felix1
12,11,2,60,84,1807,Felix1
12,11,3,60,102,1705,Felix1
12,11,4,60,120,1585,Felix1
12,11,5,60,95,1490,Felix1
12,11,6,60,133,1357,Felix1
12,11,7,60,96,1261,Felix1
12,11,8,60,103,1158,Felix1
12,11,9,60,102,1056,Felix1
12,11,10,60,129,927,Felix1
12,11,11,60,139,788,Felix1
12,11,12,60,141,647,Felix1
12,11,13,54,147,500,Felix1
12,11,14,54,227,273,Felix1
12,11,15,48,184,89,Felix1
13,12,1,60,109,1891,Felix1
13,12,2,60,175,1716,Felix1
13,12,3,60,106,1610,Felix1
13,12,4,60,152,1458,Felix1
13,12,5,60,68,1390,Felix1
13,12,6,60,118,1272,Felix1
13,12,7,60,105,1167,Felix1
13,12,8,60,76,1091,Felix1
13,12,9,60,38,1053,Felix1
13,12,10,60,118,935,Felix1
13,12,11,60,110,825,Felix1
13,12,12,60,85,740,Felix1
13,12,13,54,179,561,Felix1
13,12,14,54,179,382,Felix1
13,12,15,36,382,0,Felix1
14,13,1,60,84,1916,Felix1
14,13,2,60,61,1855,Felix1
14,13,3,60,92,1763,Felix1
14,13,4,60,76,1687,Felix1
14,13,5,60,95,1592,Felix1
14,13,6,60,70,1522,Felix1
14,13,7,60,89,1433,Felix1
14,13,8,60,67,1366,Felix1
14,13,9,60,55,1311,Felix1
14,13,10,60,82,1229,Felix1
14,13,11,60,85,1144,Felix1
14,13,12,60,73,1071,Felix1
14,13,13,54,56,1015,Felix1
14,13,14,48,150,865,Felix1
14,13,15,48,125,740,Felix1
15,14,1,60,48,1952,Felix1
15,14,2,60,65,1887,Felix1
15,14,3,60,40,1847,Felix1
15,14,4,60,48,1799,Felix1
15,14,5,60,47,1752,Felix1
15,14,6,60,40,1712,Felix1
15,14,7,60,53,1659,Felix1
15,14,8,60,37,1622,Felix1
15,14,9,60,44,1578,Felix1
15,14,10,60,40,1538,Felix1
15,14,11,60,33,1505,Felix1
15,14,12,60,63,1442,Felix1
15,14,13,54,57,1385,Felix1
15,14,14,48,84,1301,Felix1
15,14,15,36,104,1197,Felix1
16,15,1,60,123,1877,Felix1
16,15,2,60,140,1737,Felix1
16,15,3,60,144,1593,Felix1
16,15,4,60,187,1406,Felix1
16,15,5,60,147,1259,Felix1
16,15,6,60,116,1143,Felix1
16,15,7,60,142,1001,Felix1
16,15,8,60,152,849,Felix1
16,15,9,60,139,710,Felix1
16,15,10,60,197,513,Felix1
16,15,11,60,128,385,Felix1
16,15,12,60,105,280,Felix1
16,15,13,54,113,167,Felix1
16,15,14,36,167,0,Felix1
16,15,15,36,0,0,Felix1
17,16,1,60,100,1900,Felix1
17,16,2,60,173,1727,Felix1
17,16,3,60,95,1632,Felix1
17,16,4,60,81,1551,Felix1
17,16,5,60,131,1420,Felix1
