Simulation Number,comboID,Week,Price,Sales,Remaining Inventory
1,0,1,60,79,1921
1,0,2,60,82,1839
1,0,3,60,104,1735
1,0,4,60,93,1642
1,0,5,60,126,1516
1,0,6,60,93,1423
1,0,7,60,68,1355
1,0,8,60,82,1273
1,0,9,60,31,1242
1,0,10,60,69,1173
1,0,11,60,62,1111
1,0,12,60,50,1061
1,0,13,60,47,1014
1,0,14,60,70,944
1,0,15,60,47,897
2,1,1,60,105,1895
2,1,2,60,87,1808
2,1,3,60,141,1667
2,1,4,60,125,1542
2,1,5,60,140,1402
2,1,6,60,67,1335
2,1,7,60,70,1265
2,1,8,60,80,1185
2,1,9,60,103,1082
2,1,10,60,100,982
2,1,11,60,112,870
2,1,12,60,144,726
2,1,13,60,127,599
2,1,14,60,116,483
2,1,15,54,110,373
3,2,1,60,60,1940
3,2,2,60,59,1881
3,2,3,60,70,1811
3,2,4,60,41,1770
3,2,5,60,65,1705
3,2,6,60,49,1656
3,2,7,60,39,1617
3,2,8,60,46,1571
3,2,9,60,63,1508
3,2,10,60,90,1418
3,2,11,60,58,1360
3,2,12,60,54,1306
3,2,13,60,62,1244
3,2,14,60,79,1165
3,2,15,48,122,1043
4,3,1,60,123,1877
4,3,2,60,112,1765
4,3,3,60,107,1658
4,3,4,60,110,1548
4,3,5,60,165,1383
4,3,6,60,135,1248
4,3,7,60,120,1128
4,3,8,60,140,988
4,3,9,60,106,882
4,3,10,60,159,723
4,3,11,60,60,663
4,3,12,60,95,568
4,3,13,60,135,433
4,3,14,60,155,278
4,3,15,36,278,0
5,4,1,60,112,1888
5,4,2,60,102,1786
5,4,3,60,127,1659
5,4,4,60,47,1612
5,4,5,60,125,1487
5,4,6,60,111,1376
5,4,7,60,113,1263
5,4,8,60,169,1094
5,4,9,60,49,1045
5,4,10,60,92,953
5,4,11,60,165,788
5,4,12,60,129,659
5,4,13,60,70,589
5,4,14,54,91,498
5,4,15,54,91,407
6,5,1,60,95,1905
6,5,2,60,66,1839
6,5,3,60,70,1769
6,5,4,60,104,1665
6,5,5,60,121,1544
6,5,6,60,104,1440
6,5,7,60,72,1368
6,5,8,60,114,1254
6,5,9,60,104,1150
6,5,10,60,101,1049
6,5,11,60,101,948
6,5,12,60,114,834
6,5,13,60,88,746
6,5,14,54,81,665
6,5,15,48,177,488
7,6,1,60,125,1875
7,6,2,60,187,1688
7,6,3,60,108,1580
7,6,4,60,125,1455
7,6,5,60,134,1321
7,6,6,60,153,1168
7,6,7,60,83,1085
7,6,8,60,168,917
7,6,9,60,105,812
7,6,10,60,124,688
7,6,11,60,127,561
7,6,12,60,88,473
7,6,13,60,95,378
7,6,14,54,27,351
7,6,15,36,324,27
8,7,1,60,59,1941
8,7,2,60,79,1862
8,7,3,60,85,1777
8,7,4,60,110,1667
8,7,5,60,57,1610
8,7,6,60,51,1559
8,7,7,60,72,1487
8,7,8,60,71,1416
8,7,9,60,57,1359
8,7,10,60,54,1305
8,7,11,60,43,1262
8,7,12,60,77,1185
8,7,13,60,65,1120
8,7,14,48,171,949
8,7,15,48,168,781
9,8,1,60,58,1942
9,8,2,60,47,1895
9,8,3,60,40,1855
9,8,4,60,37,1818
9,8,5,60,70,1748
9,8,6,60,40,1708
9,8,7,60,75,1633
9,8,8,60,59,1574
9,8,9,60,109,1465
9,8,10,60,50,1415
9,8,11,60,84,1331
9,8,12,60,64,1267
9,8,13,60,49,1218
9,8,14,48,94,1124
9,8,15,36,128,996
10,9,1,60,139,1861
10,9,2,60,125,1736
10,9,3,60,164,1572
10,9,4,60,123,1449
10,9,5,60,121,1328
10,9,6,60,96,1232
10,9,7,60,135,1097
10,9,8,60,121,976
10,9,9,60,145,831
10,9,10,60,167,664
10,9,11,60,158,506
10,9,12,60,124,382
10,9,13,60,112,270
10,9,14,36,270,0
10,9,15,36,0,0
11,10,1,60,102,1898
11,10,2,60,140,1758
11,10,3,60,97,1661
11,10,4,60,152,1509
11,10,5,60,119,1390
11,10,6,60,80,1310
11,10,7,60,142,1168
11,10,8,60,106,1062
11,10,9,60,148,914
11,10,10,60,107,807
11,10,11,60,94,713
11,10,12,60,72,641
11,10,13,54,146,495
