Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,66180,92808,28.7
2,1,96960,109236,11.2
3,2,55956,81432,31.3
4,3,113328,115806,2.1
5,4,94488,108018,12.5
6,5,88110,104100,15.4
7,6,110442,113490,2.7
8,7,69072,90828,24.0
9,8,56040,80232,30.2
10,9,113520,120000,5.4
11,10,98874,109644,9.8
12,11,75222,96864,22.3
13,12,75726,96900,21.9
14,13,91524,104358,12.3
15,14,57216,80880,29.3
16,16,109740,112416,2.4
17,17,111996,115302,2.9
18,18,50316,73080,31.1
19,19,102504,109182,6.1
20,20,90534,104910,13.7
21,21,57582,81150,29.0
22,22,98976,107082,7.6
23,24,75678,94692,20.1
24,25,111042,116280,4.5
25,26,70926,91560,22.5
26,27,72420,91392,20.8
27,28,77898,95220,18.2
28,29,50268,73152,31.3
29,30,111528,113046,1.3
30,31,66648,85842,22.4
31,32,46920,68040,31.0
32,33,81648,96264,15.2
33,34,83316,97776,14.8
34,35,94764,106758,11.2
35,36,49296,73896,33.3
36,37,93792,104748,10.5
37,38,116376,120000,3.0
38,39,80076,98004,18.3
39,40,89340,102048,12.5
40,41,73146,92856,21.2
41,42,108426,111192,2.5
42,43,113016,118182,4.4
43,44,94500,102246,7.6
44,45,110400,112812,2.1
45,46,84546,97716,13.5
46,47,101430,105750,4.1
47,48,85998,97524,11.8
48,49,66786,83922,20.4
49,50,96324,104430,7.8
50,51,111336,116400,4.4
51,52,104208,110256,5.5
52,53,93804,100152,6.3
53,54,94296,100992,6.6
54,55,102336,118824,13.9
55,56,74298,95940,22.6
56,57,114384,117606,2.7
57,58,86052,100296,14.2
58,59,75492,92940,18.8
59,60,110130,112476,2.1
60,61,112770,118284,4.7
61,62,111582,114480,2.5
62,63,63300,83220,23.9
63,64,104820,108756,3.6
64,65,95826,102168,6.2
65,66,110274,113430,2.8
66,67,113964,120000,5.0
67,68,104382,110472,5.5
68,69,84252,97530,13.6
69,70,102384,112758,9.2
70,71,88806,100542,11.7
71,72,83040,97848,15.1
72,73,111000,119460,7.1
73,74,95556,100644,5.1
74,75,85626,96132,10.9
75,76,90720,102576,11.6
76,77,106320,107760,1.3
77,78,107700,111936,3.8
78,79,109644,119130,8.0
79,80,52704,68628,23.2
80,81,98604,106440,7.4
81,82,57564,74040,22.3
82,83,85908,94728,9.3
83,84,63642,85620,25.7
84,85,73356,92340,20.6
85,86,35340,52260,32.4
86,87,111960,114294,2.0
87,88,115356,120000,3.9
88,89,109740,116346,5.7
89,90,79458,97470,18.5
90,91,112440,117234,4.1
91,92,78132,92472,15.5
92,93,87492,98388,11.1
93,94,112482,118644,5.2
94,95,75312,90270,16.6
95,96,91764,100674,8.9
96,97,106494,116280,8.4
97,98,101664,111528,8.8
98,99,113220,120000,5.7
99,100,109248,115092,5.1
100,101,33750,45720,26.2
101,102,106872,117144,8.8
102,103,96882,102708,5.7
103,104,91242,98340,7.2
104,105,88122,99048,11.0
105,106,66912,82296,18.7
106,107,12714,17544,27.5
107,108,105804,113178,6.5
108,109,72708,84516,14.0
109,110,99444,109266,9.0
110,111,91632,99240,7.7
111,112,95880,101046,5.1
112,113,107304,112710,4.8
113,114,103284,109860,6.0
114,115,45672,58104,21.4
115,116,98196,105804,7.2
116,117,94908,105672,10.2
117,118,81840,92892,11.9
118,119,93072,112962,17.6
119,120,93846,104352,10.1
120,121,112728,115116,2.1
121,122,106170,108606,2.2
122,123,87132,99870,12.8
123,124,109584,111306,1.5
124,125,48786,67992,28.2
125,126,85998,99414,13.5
126,127,106248,109338,2.8
127,128,114546,120000,4.5
128,129,81276,94332,13.8
129,130,84324,97440,13.5
130,131,104370,106260,1.8
131,132,99054,103452,4.3
132,133,102642,110622,7.2
133,134,109086,120000,9.1
134,135,59202,77724,23.8
135,137,112908,120000,5.9
136,138,108018,118554,8.9
137,139,105210,119280,11.8
138,140,93870,103746,9.5
139,141,91464,99714,8.3
140,142,90882,98274,7.5
141,143,107010,113640,5.8
142,144,106956,118020,9.4
143,145,81708,92220,11.4
144,146,73998,87468,15.4
145,147,94212,107910,12.7
146,148,72210,86028,16.1
147,149,108732,120000,9.4
148,150,96582,100002,3.4
149,151,76122,86760,12.3
150,152,98178,103656,5.3
151,153,93222,99834,6.6
152,154,102960,120000,14.2
153,155,93498,112626,17.0
154,156,92592,99384,6.8
155,157,107868,120000,10.1
156,158,63960,78672,18.7
157,159,97884,104976,6.8
158,160,101508,113886,10.9
159,161,104844,120000,12.6
160,162,90288,99522,9.3
161,163,79224,87024,9.0
162,164,86568,102432,15.5
163,165,112044,112584,0.5
164,166,110544,110844,0.3
165,167,74424,91656,18.8
166,168,110454,113040,2.3
167,169,112350,117354,4.3
168,170,106626,109482,2.6
169,171,51186,72732,29.6
170,172,83574,97620,14.4
171,173,107772,114210,5.6
172,174,103440,110340,6.3
173,175,33138,46860,29.3
174,176,80550,94512,14.8
175,177,97992,102006,3.9
176,178,106068,116274,8.8
177,179,92760,99696,7.0
178,180,86430,97728,11.6
179,181,66186,84276,21.5
180,182,100080,103290,3.1
181,183,100290,105300,4.8
182,184,90894,98700,7.9
183,185,102468,116286,11.9
184,186,106842,111684,4.3
185,187,103032,105822,2.6
186,188,93822,100404,6.6
187,189,99966,104712,4.5
188,190,100866,112572,10.4
189,191,72354,82524,12.3
190,192,93534,102384,8.6
191,193,21324,28608,25.5
192,194,96234,100644,4.4
193,195,105504,114018,7.5
194,196,72156,84804,14.9
195,197,98790,108366,8.8
196,198,91656,98328,6.8
197,199,89730,99552,9.9
198,200,95706,114066,16.1
199,201,104976,113298,7.3
200,202,104034,108900,4.5
201,203,106104,115266,7.9
202,204,53304,69012,22.8
203,205,110532,120000,7.9
204,206,90876,100506,9.6
205,207,99246,118626,16.3
206,208,88572,101844,13.0
207,209,77442,82032,5.6
208,210,35268,46140,23.6
209,211,101724,104448,2.6
210,212,106440,120000,11.3
211,213,98076,104646,6.3
212,214,94656,101208,6.5
213,215,98316,109266,10.0
214,216,92160,105882,13.0
215,217,96204,118032,18.5
216,218,90060,110754,18.7
217,219,86328,110622,22.0
218,220,110904,110904,0.0
219,221,72246,91008,20.6
220,222,97572,104322,6.5
221,223,108924,111726,2.5
222,224,68598,84540,18.9
223,225,105096,108984,3.6
224,226,67134,85440,21.4
225,227,78972,92784,14.9
226,228,106392,113880,6.6
227,229,98262,102930,4.5
228,230,107784,110184,2.2
229,231,80238,92100,12.9
230,232,90168,99396,9.3
231,233,99246,106236,6.6
232,234,96516,106542,9.4
233,235,63882,81792,21.9
234,236,106782,112464,5.1
235,237,108438,120000,9.6
236,238,85848,95088,9.7
237,239,94626,100638,6.0
238,240,91662,101556,9.7
239,241,105114,106056,0.9
240,242,102012,103446,1.4
241,243,99624,104112,4.3
242,244,103260,111360,7.3
243,245,106974,120000,10.9
244,246,97998,110928,11.7
245,247,82218,89478,8.1
246,248,103764,106476,2.5
247,249,83268,93048,10.5
248,250,106392,119166,10.7
249,251,66456,79812,16.7
250,252,94902,101064,6.1
251,253,92628,104466,11.3
252,254,68406,79560,14.0
253,255,84834,90168,5.9
254,256,104346,110100,5.2
255,257,72846,84780,14.1
256,258,100542,103368,2.7
257,259,30204,37788,20.1
258,260,52806,65652,19.6
259,261,91368,101100,9.6
260,262,91356,105882,13.7
261,263,84102,90648,7.2
262,264,93372,115380,19.1
263,265,96012,100692,4.6
264,266,94458,98964,4.6
265,267,105462,120000,12.1
266,268,99732,110652,9.9
267,269,95256,101382,6.0
268,270,94692,108750,12.9
269,271,91242,104292,12.5
270,272,89460,105174,14.9
271,273,68850,76644,10.2
272,274,94404,120000,21.3
273,275,89556,95868,6.6
274,276,98100,99894,1.8
275,277,69480,80868,14.1
276,278,97008,103428,6.2
277,279,97464,109752,11.2
278,280,89388,96972,7.8
279,281,88692,98940,10.4
280,282,90000,104502,13.9
281,283,90480,114294,20.8
282,284,83280,99324,16.2
283,285,92088,120000,23.3
284,286,61818,82182,24.8
285,287,48234,69444,30.5
286,288,89736,99984,10.2
287,289,108636,111270,2.4
288,290,107994,110142,2.0
289,291,105342,110094,4.3
290,292,43908,61092,28.1
291,293,102300,104736,2.3
292,294,98058,101952,3.8
293,295,99012,103470,4.3
294,296,105396,109410,3.7
295,297,71730,86604,17.2
296,298,107892,115866,6.9
297,299,75210,88248,14.8
298,300,90858,98184,7.5
299,301,92808,99612,6.8
300,302,105678,108582,2.7
301,303,106584,112854,5.6
302,304,102306,109050,6.2
303,305,98034,105666,7.2
304,306,98610,106800,7.7
305,307,107100,114540,6.5
306,308,68970,82668,16.6
307,309,51600,67920,24.0
308,310,53652,68964,22.2
309,311,96150,106746,9.9
310,312,93690,103128,9.2
311,313,88278,93588,5.7
312,314,87990,96012,8.4
313,315,77538,89592,13.5
314,316,107256,120000,10.6
315,317,91392,96936,5.7
316,318,99960,110478,9.5
317,319,44238,55308,20.0
318,320,94950,109824,13.5
319,321,90294,101070,10.7
320,322,94554,98628,4.1
321,323,102786,105018,2.1
322,324,97650,102066,4.3
323,325,84528,91008,7.1
324,326,82494,90624,9.0
325,327,100200,117060,14.4
326,328,90636,102666,11.7
327,329,87468,98604,11.3
328,330,67686,75408,10.2
329,331,103290,120000,13.9
330,332,102492,107736,4.9
331,333,102522,110484,7.2
332,334,99270,109800,9.6
333,335,101514,113364,10.5
334,336,87864,91734,4.2
335,337,95310,108048,11.8
336,338,90672,109314,17.1
337,339,87006,102930,15.5
338,340,88476,106824,17.2
339,341,101088,104346,3.1
340,342,100956,106944,5.6
341,343,60438,73440,17.7
342,344,101178,111828,9.5
343,345,95862,103278,7.2
344,346,44796,53424,16.2
345,347,96594,112416,14.1
346,348,46512,53892,13.7
347,349,93816,118260,20.7
348,350,87060,108384,19.7
349,351,80922,85380,5.2
350,352,102816,113238,9.2
351,353,69540,80148,13.2
352,354,74928,83352,10.1
353,355,95292,102276,6.8
354,356,89976,94320,4.6
355,357,56280,66660,15.6
356,358,88272,99990,11.7
357,359,89484,110214,18.8
358,360,91044,114204,20.3
359,361,84816,106578,20.4
360,362,86124,116538,26.1
361,363,78624,82344,4.5
362,364,65976,85332,22.7
363,365,110262,116544,5.4
364,366,76824,92268,16.7
365,367,110040,119040,7.6
366,368,108534,111414,2.6
367,369,111048,120000,7.5
368,370,66624,83916,20.6
369,371,108630,113682,4.4
370,372,105900,113616,6.8
371,373,27900,36540,23.6
372,374,106716,108648,1.8
373,375,79968,90744,11.9
374,376,101160,107472,5.9
375,377,108990,119118,8.5
376,378,98820,111270,11.2
377,379,105294,107460,2.0
378,380,74676,87252,14.4
379,381,70980,85548,17.0
380,382,33696,43572,22.7
381,383,94410,99228,4.9
382,384,80934,88920,9.0
383,385,103392,107004,3.4
384,386,76824,88272,13.0
385,387,45546,59856,23.9
386,388,63024,76092,17.2
387,389,97362,105036,7.3
388,390,98244,107670,8.8
389,391,91800,103716,11.5
390,392,98364,100860,2.5
391,393,71892,83868,14.3
392,394,75174,86772,13.4
393,395,96420,100002,3.6
394,396,102240,114042,10.3
395,397,100980,112026,9.9
396,398,51804,61788,16.2
397,399,87954,101136,13.0
398,400,104448,118812,12.1
399,401,73458,84984,13.6
400,402,84042,91596,8.2
401,403,98994,106248,6.8
402,404,96570,106266,9.1
403,405,96570,110508,12.6
404,406,94668,111096,14.8
