game_number,agent_revenue,optimal_revenue,lift_tier
1,76392,110826,3
2,75072,115800,3
3,61908,65484,3
4,75156,97392,3
5,69414,71208,3
6,75072,93036,3
7,79668,115194,3
8,75024,119082,3
9,78300,104520,3
10,75666,100254,3
11,75900,92328,3
12,76614,106146,3
13,49884,53136,3
14,76656,112284,3
15,75420,77436,3
16,75096,114396,3
17,76338,103794,3
18,80076,109482,3
19,79446,108696,3
20,58038,61140,3
21,79086,103536,3
22,73818,74424,3
23,75138,88578,3
24,78888,106494,3
25,75000,116958,3
26,76008,89256,3
27,77958,111402,3
28,75288,120000,3
29,75468,87780,3
30,82176,111990,3
31,75852,94668,3
32,82470,120000,3
33,75786,106104,3
34,78750,109314,3
35,16752,17436,3
36,76374,92772,3
37,79482,107256,3
38,75114,86688,3
39,76128,100764,3
40,79614,115338,3
41,79452,108582,3
42,68364,70452,3
43,64728,68772,3
44,76254,97020,3
45,50112,53292,3
46,78450,100494,3
47,75114,94596,3
48,76536,106038,3
49,75258,89964,3
50,78348,107580,3
51,79782,112392,3
52,76176,102858,3
53,75000,120000,3
54,74742,90672,3
55,75966,87444,3
56,75258,84084,3
57,49080,52284,3
58,79470,109266,3
59,76464,93816,3
60,78438,115338,3
61,80502,115338,3
62,74664,74664,3
63,75120,120000,3
64,64824,66708,3
65,75216,118428,3
66,75702,103704,3
67,76428,112596,3
68,75366,87564,3
69,75444,84516,3
70,80610,111168,3
71,75612,103842,3
72,74886,84198,3
73,74880,91476,3
74,29280,30756,3
75,75180,88284,3
76,76098,103338,3
77,75120,101472,3
78,79212,109266,3
79,76026,98496,3
80,74796,89004,3
81,75972,91176,3
82,74592,80316,3
83,75318,102390,3
84,78420,106626,3
85,79284,108648,3
86,74730,88962,3
87,80724,114138,3
88,75864,97956,3
89,74742,90156,3
90,75000,120000,3
91,75570,83586,3
92,78846,105618,3
93,75336,97908,3
94,78582,103560,3
95,74772,96900,3
96,80466,113598,3
97,74724,82092,3
98,79068,108114,3
99,79794,106470,3
100,75360,120000,3
