Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,55860,82860,32.6
2,1,98772,110112,10.3
3,2,103956,111624,6.9
4,3,67080,91344,26.6
5,4,103254,111756,7.6
6,5,105414,111702,5.6
7,6,106836,111678,4.3
8,7,113880,115188,1.1
9,8,98544,108114,8.9
10,9,120000,120000,0.0
11,10,106890,112482,5.0
12,11,115776,117756,1.7
13,12,62190,85824,27.5
14,13,79632,98202,18.9
15,14,110664,113622,2.6
16,15,51990,74520,30.2
17,16,97356,106908,8.9
18,17,47508,71256,33.3
19,18,55368,77610,28.7
20,19,105984,115188,8.0
21,20,56460,81372,30.6
22,21,111078,113016,1.7
23,22,95154,105480,9.8
24,23,89592,103746,13.6
25,24,55134,77832,29.2
26,25,49836,73152,31.9
27,26,89970,103002,12.7
28,27,92232,102204,9.8
29,28,51558,74280,30.6
30,29,60252,79788,24.5
31,30,74568,93552,20.3
32,31,94212,103734,9.2
33,32,63972,82824,22.8
34,33,101400,107460,5.6
35,34,58296,77964,25.2
36,35,70464,93840,24.9
37,36,83508,100668,17.0
38,37,90756,103104,12.0
39,38,51480,75492,31.8
40,39,78996,97542,19.0
41,40,89100,101568,12.3
42,41,93600,104244,10.2
43,42,38112,54828,30.5
44,43,109956,115338,4.7
45,44,98370,104178,5.6
46,45,106464,108678,2.0
47,46,110700,114162,3.0
48,47,85170,98490,13.5
49,48,118278,120000,1.4
50,49,102906,116004,11.3
51,50,88392,101316,12.8
52,51,111864,120000,6.8
53,52,74052,90732,18.4
54,53,93012,101202,8.1
55,54,69192,82788,16.4
56,55,95376,105702,9.8
57,56,90252,103392,12.7
58,57,67758,88824,23.7
59,58,66330,86880,23.7
60,59,112548,114348,1.6
61,60,86994,100230,13.2
62,61,90102,100014,9.9
63,62,112182,115080,2.5
64,63,83088,98766,15.9
65,64,81054,97854,17.2
66,65,82080,96648,15.1
67,66,115296,120000,3.9
68,67,87054,99258,12.3
69,68,71610,90120,20.5
70,69,109872,118626,7.4
71,70,99276,108972,8.9
72,71,105030,107274,2.1
73,72,79680,93444,14.7
74,73,76722,92016,16.6
75,74,104022,113730,8.5
76,75,93552,100194,6.6
77,76,89754,97512,8.0
78,77,84720,98142,13.7
79,78,75876,91992,17.5
80,79,83832,97242,13.8
81,80,81480,94812,14.1
82,81,105000,116604,10.0
83,82,91608,98298,6.8
84,83,94080,110064,14.5
85,84,106272,110766,4.1
86,85,75054,93720,19.9
87,86,62148,83928,26.0
88,87,91500,102516,10.7
89,88,113868,117264,2.9
90,89,58206,78132,25.5
91,90,110502,114336,3.4
92,91,105402,108690,3.0
93,92,58608,78804,25.6
94,93,84648,94644,10.6
95,94,104220,107442,3.0
96,95,83424,97596,14.5
97,96,112104,119640,6.3
98,97,78168,91788,14.8
99,98,95982,104286,8.0
100,99,108450,110970,2.3
101,100,111942,120000,6.7
102,101,73344,87720,16.4
103,102,110742,120000,7.7
104,103,96120,105822,9.2
105,104,67140,80580,16.7
106,105,108618,113688,4.5
107,106,95076,100386,5.3
108,107,112146,120000,6.5
109,108,102774,111648,7.9
110,109,97206,106608,8.8
111,110,102576,117408,12.6
112,111,81702,89136,8.3
113,112,88428,99180,10.8
114,113,108780,119640,9.1
115,114,100680,106152,5.2
116,115,105420,115572,8.8
117,116,98724,111678,11.6
118,117,101184,114762,11.8
119,118,95244,107844,11.7
