game_number,agent_revenue,optimal_revenue,lift_tier
1,75390,102384,1
2,76290,87540,1
3,75384,83544,1
4,45054,48600,1
5,75288,120000,1
6,80466,112164,1
7,75120,118836,1
8,74718,90984,1
9,81054,115746,1
10,76482,110760,1
11,75048,79116,1
12,79386,108528,1
13,76188,103614,1
14,79488,112332,1
15,75798,102240,1
16,79644,111852,1
17,75036,84264,1
18,75072,117996,1
19,76212,103080,1
20,64662,68100,1
21,79710,109542,1
22,75690,100152,1
23,67158,69048,1
24,75312,120000,1
25,80652,107214,1
26,80922,116862,1
27,75024,120000,1
28,75120,113142,1
29,84342,120000,1
30,75390,79338,1
31,75666,90168,1
32,76272,103992,1
33,80412,111318,1
34,71292,73200,1
35,76092,103974,1
36,75192,82134,1
37,75732,97428,1
38,76692,112770,1
39,76044,78948,1
40,75216,119196,1
41,76266,111288,1
42,78384,102522,1
43,80388,112998,1
44,75000,116460,1
45,75024,118368,1
46,75426,101238,1
47,75090,102504,1
48,77496,95700,1
49,75240,119196,1
50,79092,107628,1
51,79746,106428,1
52,78576,108768,1
53,75120,120000,1
54,75696,76872,1
55,79710,111456,1
56,78654,108690,1
57,75690,83028,1
58,78054,100086,1
59,81132,111696,1
60,75756,99582,1
61,82338,120000,1
62,80694,110934,1
63,75576,98526,1
64,75474,100890,1
65,76236,105780,1
66,74754,99384,1
67,82812,120000,1
68,75894,81588,1
69,73656,74664,1
70,75804,92628,1
71,77364,92280,1
72,75966,100314,1
73,81072,118104,1
74,75936,83148,1
75,78210,100512,1
76,79110,113670,1
77,75630,88284,1
78,76260,107148,1
79,76596,110160,1
80,76212,114102,1
81,33138,35976,1
82,75120,92952,1
83,74802,82086,1
84,75834,91224,1
85,77166,95448,1
86,76464,109128,1
87,74802,75384,1
88,74694,81084,1
89,80184,105582,1
90,75480,120000,1
91,81492,117492,1
92,78642,103836,1
93,75198,91050,1
94,75474,86700,1
95,75120,117300,1
96,75144,120000,1
97,79770,109146,1
98,76176,101388,1
99,76092,100980,1
100,75600,106200,1
