Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,64260,90552,29.0
2,1,49872,77148,35.4
3,2,101940,110232,7.5
4,3,91992,104784,12.2
5,4,39624,63408,37.5
6,5,40410,62652,35.5
7,6,9912,15204,34.8
8,7,111840,114552,2.4
9,8,58644,82440,28.9
10,9,98664,105936,6.9
11,10,119934,120000,0.1
12,11,110208,113064,2.5
13,12,108684,112368,3.3
14,13,71964,93744,23.2
15,14,44334,67212,34.0
16,15,115314,120000,3.9
17,16,99864,107262,6.9
18,17,120000,120000,0.0
19,18,95124,104364,8.9
20,19,72336,90348,19.9
21,20,88494,104076,15.0
22,21,79056,98790,20.0
23,22,75564,96096,21.4
24,23,16800,25536,34.2
25,24,96498,105780,8.8
1,0,7080,11640,39.2
2,1,86142,103950,17.1
3,2,99156,109458,9.4
4,3,83556,101658,17.8
5,4,39144,62760,37.6
6,5,61614,86724,29.0
7,6,86976,102480,15.1
8,7,95004,106398,10.7
9,8,120000,120000,0.0
10,9,49536,74484,33.5
1,0,108360,114492,5.4
2,1,58194,84768,31.3
3,2,120000,120000,0.0
4,3,108576,112344,3.4
5,4,102270,111258,8.1
6,5,64338,88152,27.0
7,6,97410,107568,9.4
8,7,109356,112734,3.0
9,8,63360,85428,25.8
10,9,21060,30828,31.7
11,10,108030,113358,4.7
12,11,78246,99450,21.3
13,12,109044,112068,2.7
14,13,116214,120000,3.2
15,14,76650,96060,20.2
16,15,31440,47436,33.7
17,16,91392,104862,12.8
18,17,68964,89640,23.1
19,18,95460,104112,8.3
20,19,108528,115566,6.1
21,20,82692,101304,18.4
22,21,107208,111408,3.8
1,0,107280,114246,6.1
2,1,61962,87972,29.6
3,2,107448,113124,5.0
4,3,85008,102528,17.1
5,4,119388,120000,0.5
6,5,96996,108600,10.7
7,6,63378,86052,26.3
8,7,80364,99786,19.5
9,8,120000,120000,0.0
10,9,109824,115920,5.3
