Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
1,0,66120,92688,28.7
2,1,36498,59292,38.4
3,2,95868,108336,11.5
4,3,109056,113484,3.9
5,4,69186,94044,26.4
6,5,88968,104580,14.9
7,6,83196,100008,16.8
8,7,101040,109452,7.7
9,8,59112,82704,28.5
10,9,107088,111564,4.0
11,10,90786,105966,14.3
12,11,116856,118152,1.1
13,12,94242,105018,10.3
14,13,89166,103716,14.0
15,14,110382,113160,2.5
16,15,79692,96876,17.7
17,16,62832,84696,25.8
18,17,109992,111936,1.7
19,18,92628,102462,9.6
20,19,88344,100320,11.9
21,20,78042,98664,20.9
22,21,46104,70584,34.7
23,22,115062,116232,1.0
24,23,58398,82104,28.9
25,24,82548,98952,16.6
26,25,106698,110634,3.6
27,26,83130,99612,16.5
28,27,46668,69024,32.4
29,28,73644,93072,20.9
30,29,101136,107802,6.2
31,30,112860,120000,5.9
32,31,53568,76644,30.1
33,32,106464,109668,2.9
34,33,55584,76200,27.1
35,34,103656,115206,10.0
36,35,116598,117864,1.1
37,36,55428,79536,30.3
38,37,71694,92364,22.4
39,38,113088,114510,1.2
40,39,73368,93270,21.3
41,40,80802,97584,17.2
42,41,107466,109242,1.6
43,42,59496,81300,26.8
44,43,102210,106248,3.8
45,44,86124,98034,12.1
46,45,83898,99066,15.3
47,46,81294,96936,16.1
48,47,101394,105540,3.9
49,48,112632,120000,6.1
50,49,100590,108690,7.5
51,50,36708,52800,30.5
52,51,93768,102294,8.3
53,52,75432,90132,16.3
54,53,105936,115236,8.1
55,54,29808,39996,25.5
56,55,79044,90384,12.5
57,56,96882,107064,9.5
58,57,42294,63492,33.4
59,58,112890,115242,2.0
60,59,113196,115128,1.7
61,60,80934,96864,16.4
62,61,90600,100890,10.2
63,62,64368,85164,24.4
64,63,111270,114198,2.6
65,64,111276,117894,5.6
66,65,66660,84876,21.5
67,66,100374,105786,5.1
68,67,87060,99444,12.5
69,68,103188,108012,4.5
70,69,115260,120000,4.0
71,70,36006,48276,25.4
72,71,107376,108198,0.8
73,72,42546,58824,27.7
74,73,75336,90072,16.4
75,74,43386,59520,27.1
76,75,96420,104754,8.0
77,76,90540,98484,8.1
78,77,55668,75684,26.4
79,78,70368,85872,18.1
80,79,99468,103086,3.5
