Simulation Number,comboID,Week,Price,Sales,Remaining Inventory
1,0,1,60,82,1918
1,0,2,60,78,1840
1,0,3,60,60,1780
1,0,4,60,79,1701
1,0,5,60,85,1616
1,0,6,60,53,1563
1,0,7,60,87,1476
1,0,8,60,53,1423
1,0,9,60,23,1400
1,0,10,60,49,1351
1,0,11,60,112,1239
1,0,12,60,89,1150
1,0,13,60,71,1079
1,0,14,60,47,1032
1,0,15,60,103,929
2,1,1,60,54,1946
2,1,2,60,78,1868
2,1,3,60,59,1809
2,1,4,60,57,1752
2,1,5,60,27,1725
2,1,6,60,47,1678
2,1,7,60,52,1626
2,1,8,60,55,1571
2,1,9,60,72,1499
2,1,10,60,40,1459
2,1,11,60,56,1403
2,1,12,60,56,1347
2,1,13,60,54,1293
2,1,14,60,45,1248
2,1,15,54,88,1160
3,2,1,60,107,1893
3,2,2,60,86,1807
3,2,3,60,127,1680
3,2,4,60,52,1628
3,2,5,60,129,1499
3,2,6,60,102,1397
3,2,7,60,125,1272
3,2,8,60,66,1206
3,2,9,60,130,1076
3,2,10,60,105,971
3,2,11,60,74,897
3,2,12,60,118,779
3,2,13,60,116,663
3,2,14,60,134,529
3,2,15,48,285,244
4,3,1,60,106,1894
4,3,2,60,83,1811
4,3,3,60,112,1699
4,3,4,60,41,1658
4,3,5,60,122,1536
4,3,6,60,67,1469
4,3,7,60,106,1363
4,3,8,60,111,1252
4,3,9,60,104,1148
4,3,10,60,130,1018
4,3,11,60,41,977
4,3,12,60,112,865
4,3,13,60,63,802
4,3,14,60,100,702
4,3,15,36,392,310
5,4,1,60,44,1956
5,4,2,60,25,1931
5,4,3,60,50,1881
5,4,4,60,43,1838
5,4,5,60,41,1797
5,4,6,60,32,1765
5,4,7,60,46,1719
5,4,8,60,61,1658
5,4,9,60,31,1627
5,4,10,60,35,1592
5,4,11,60,52,1540
5,4,12,60,58,1482
5,4,13,60,47,1435
5,4,14,54,45,1390
5,4,15,54,61,1329
6,5,1,60,44,1956
6,5,2,60,40,1916
6,5,3,60,34,1882
6,5,4,60,48,1834
6,5,5,60,31,1803
6,5,6,60,39,1764
6,5,7,60,44,1720
6,5,8,60,35,1685
6,5,9,60,46,1639
6,5,10,60,33,1606
6,5,11,60,59,1547
6,5,12,60,43,1504
6,5,13,60,30,1474
6,5,14,54,75,1399
6,5,15,48,100,1299
7,6,1,60,11,1989
7,6,2,60,6,1983
7,6,3,60,11,1972
7,6,4,60,15,1957
7,6,5,60,10,1947
7,6,6,60,7,1940
7,6,7,60,18,1922
7,6,8,60,7,1915
7,6,9,60,11,1904
7,6,10,60,12,1892
7,6,11,60,8,1884
7,6,12,60,7,1877
7,6,13,60,11,1866
7,6,14,54,12,1854
7,6,15,36,34,1820
8,7,1,60,116,1884
8,7,2,60,170,1714
8,7,3,60,76,1638
8,7,4,60,171,1467
8,7,5,60,165,1302
8,7,6,60,126,1176
8,7,7,60,150,1026
8,7,8,60,118,908
8,7,9,60,95,813
8,7,10,60,129,684
8,7,11,60,108,576
8,7,12,60,105,471
8,7,13,60,99,372
8,7,14,48,178,194
8,7,15,48,117,77
9,8,1,60,71,1929
9,8,2,60,61,1868
9,8,3,60,78,1790
9,8,4,60,52,1738
9,8,5,60,63,1675
9,8,6,60,75,1600
9,8,7,60,67,1533
9,8,8,60,60,1473
9,8,9,60,53,1420
9,8,10,60,46,1374
9,8,11,60,69,1305
9,8,12,60,70,1235
9,8,13,60,62,1173
9,8,14,48,74,1099
9,8,15,36,152,947
10,9,1,60,104,1896
10,9,2,60,84,1812
10,9,3,60,136,1676
10,9,4,60,124,1552
10,9,5,60,93,1459
10,9,6,60,23,1436
10,9,7,60,91,1345
10,9,8,60,107,1238
10,9,9,60,152,1086
10,9,10,60,102,984
10,9,11,60,47,937
10,9,12,60,72,865
10,9,13,60,96,769
10,9,14,36,396,373
10,9,15,36,293,80
11,10,1,60,163,1837
11,10,2,60,153,1684
11,10,3,60,156,1528
11,10,4,60,214,1314
11,10,5,60,190,1124
11,10,6,60,109,1015
11,10,7,60,162,853
11,10,8,60,225,628
11,10,9,60,162,466
11,10,10,60,175,291
11,10,11,60,166,125
11,10,12,60,114,11
11,10,13,54,11,0
11,10,14,54,0,0
11,10,15,54,0,0
12,11,1,60,109,1891
12,11,2,60,84,1807
12,11,3,60,102,1705
12,11,4,60,120,1585
12,11,5,60,95,1490
12,11,6,60,133,1357
12,11,7,60,96,1261
12,11,8,60,103,1158
12,11,9,60,102,1056
12,11,10,60,129,927
12,11,11,60,139,788
12,11,12,60,141,647
12,11,13,54,147,500
12,11,14,54,227,273
12,11,15,48,184,89
13,12,1,60,109,1891
13,12,2,60,175,1716
13,12,3,60,106,1610
13,12,4,60,152,1458
13,12,5,60,68,1390
13,12,6,60,118,1272
