Simulation Number,comboID,Week,Price,Sales,Remaining Inventory
1,0,1,60,81,1919
1,0,2,60,36,1883
1,0,3,60,49,1834
1,0,4,60,53,1781
1,0,5,60,67,1714
1,0,6,60,98,1616
1,0,7,60,84,1532
1,0,8,60,93,1439
1,0,9,60,79,1360
1,0,10,60,117,1243
1,0,11,60,96,1147
1,0,12,60,106,1041
1,0,13,60,39,1002
1,0,14,60,89,913
1,0,15,60,83,830
2,1,1,60,75,1925
2,1,2,60,94,1831
2,1,3,60,73,1758
2,1,4,60,84,1674
2,1,5,60,87,1587
2,1,6,60,50,1537
2,1,7,60,76,1461
2,1,8,60,78,1383
2,1,9,60,77,1306
2,1,10,60,58,1248
2,1,11,60,31,1217
2,1,12,60,68,1149
2,1,13,60,74,1075
2,1,14,60,90,985
2,1,15,54,179,806
3,2,1,60,84,1916
3,2,2,60,86,1830
3,2,3,60,27,1803
3,2,4,60,97,1706
3,2,5,60,79,1627
3,2,6,60,86,1541
3,2,7,60,78,1463
3,2,8,60,99,1364
3,2,9,60,135,1229
3,2,10,60,77,1152
3,2,11,60,131,1021
3,2,12,60,129,892
3,2,13,60,81,811
3,2,14,60,93,718
3,2,15,48,81,637
4,3,1,60,111,1889
4,3,2,60,109,1780
4,3,3,60,138,1642
4,3,4,60,87,1555
4,3,5,60,132,1423
4,3,6,60,114,1309
4,3,7,60,92,1217
4,3,8,60,105,1112
4,3,9,60,109,1003
4,3,10,60,99,904
4,3,11,60,148,756
4,3,12,60,137,619
4,3,13,60,90,529
4,3,14,60,127,402
4,3,15,36,306,96
5,4,1,60,75,1925
5,4,2,60,67,1858
5,4,3,60,59,1799
5,4,4,60,63,1736
5,4,5,60,121,1615
5,4,6,60,81,1534
5,4,7,60,117,1417
5,4,8,60,91,1326
5,4,9,60,77,1249
5,4,10,60,109,1140
5,4,11,60,46,1094
5,4,12,60,85,1009
5,4,13,60,77,932
5,4,14,54,87,845
5,4,15,54,106,739
6,5,1,60,55,1945
6,5,2,60,46,1899
6,5,3,60,69,1830
6,5,4,60,36,1794
6,5,5,60,48,1746
6,5,6,60,56,1690
6,5,7,60,75,1615
6,5,8,60,49,1566
6,5,9,60,71,1495
6,5,10,60,46,1449
6,5,11,60,74,1375
6,5,12,60,65,1310
6,5,13,60,71,1239
6,5,14,54,37,1202
6,5,15,48,136,1066
7,6,1,60,134,1866
7,6,2,60,147,1719
7,6,3,60,145,1574
7,6,4,60,116,1458
7,6,5,60,109,1349
7,6,6,60,80,1269
7,6,7,60,135,1134
7,6,8,60,186,948
7,6,9,60,102,846
7,6,10,60,93,753
7,6,11,60,176,577
7,6,12,60,107,470
7,6,13,60,216,254
7,6,14,54,250,4
7,6,15,36,4,0
8,7,1,60,81,1919
8,7,2,60,68,1851
8,7,3,60,38,1813
8,7,4,60,83,1730
8,7,5,60,107,1623
8,7,6,60,55,1568
8,7,7,60,68,1500
8,7,8,60,78,1422
8,7,9,60,46,1376
8,7,10,60,109,1267
8,7,11,60,47,1220
8,7,12,60,100,1120
8,7,13,60,86,1034
8,7,14,48,116,918
8,7,15,48,141,777
9,8,1,60,108,1892
9,8,2,60,116,1776
9,8,3,60,100,1676
9,8,4,60,145,1531
9,8,5,60,119,1412
9,8,6,60,115,1297
9,8,7,60,197,1100
9,8,8,60,115,985
9,8,9,60,142,843
9,8,10,60,142,701
9,8,11,60,129,572
9,8,12,60,82,490
9,8,13,60,103,387
9,8,14,48,204,183
9,8,15,36,183,0
10,9,1,60,60,1940
10,9,2,60,41,1899
10,9,3,60,18,1881
10,9,4,60,41,1840
10,9,5,60,37,1803
10,9,6,60,71,1732
10,9,7,60,38,1694
10,9,8,60,74,1620
10,9,9,60,60,1560
10,9,10,60,59,1501
10,9,11,60,66,1435
10,9,12,60,24,1411
10,9,13,60,89,1322
10,9,14,36,243,1079
10,9,15,36,201,878
11,10,1,60,109,1891
11,10,2,60,165,1726
11,10,3,60,86,1640
11,10,4,60,88,1552
11,10,5,60,135,1417
11,10,6,60,137,1280
11,10,7,60,33,1247
11,10,8,60,122,1125
11,10,9,60,100,1025
11,10,10,60,126,899
11,10,11,60,103,796
11,10,12,60,125,671
11,10,13,54,146,525
11,10,14,54,189,336
11,10,15,54,188,148
12,11,1,60,93,1907
12,11,2,60,107,1800
12,11,3,60,117,1683
12,11,4,60,78,1605
12,11,5,60,39,1566
12,11,6,60,116,1450
12,11,7,60,125,1325
12,11,8,60,108,1217
12,11,9,60,110,1107
12,11,10,60,83,1024
12,11,11,60,139,885
12,11,12,60,87,798
12,11,13,54,66,732
12,11,14,54,79,653
12,11,15,48,176,477
13,12,1,60,75,1925
13,12,2,60,82,1843
13,12,3,60,38,1805
13,12,4,60,97,1708
13,12,5,60,80,1628
13,12,6,60,47,1581
13,12,7,60,114,1467
13,12,8,60,84,1383
13,12,9,60,67,1316
13,12,10,60,94,1222
13,12,11,60,127,1095
13,12,12,60,105,990
13,12,13,54,100,890
13,12,14,54,93,797
13,12,15,36,242,555
14,13,1,60,63,1937
14,13,2,60,82,1855
14,13,3,60,85,1770
14,13,4,60,66,1704
14,13,5,60,17,1687
14,13,6,60,55,1632
14,13,7,60,72,1560
14,13,8,60,77,1483
14,13,9,60,43,1440
14,13,10,60,89,1351
14,13,11,60,87,1264
14,13,12,60,69,1195
14,13,13,54,97,1098
14,13,14,48,163,935
14,13,15,48,93,842
15,14,1,60,125,1875
15,14,2,60,117,1758
15,14,3,60,122,1636
15,14,4,60,104,1532
15,14,5,60,160,1372
15,14,6,60,128,1244
15,14,7,60,156,1088
15,14,8,60,106,982
15,14,9,60,109,873
15,14,10,60,111,762
15,14,11,60,179,583
15,14,12,60,149,434
15,14,13,54,125,309
15,14,14,48,309,0
15,14,15,48,0,0
16,15,1,60,106,1894
16,15,2,60,132,1762
16,15,3,60,134,1628
16,15,4,60,136,1492
16,15,5,60,79,1413
16,15,6,60,136,1277
16,15,7,60,110,1167
16,15,8,60,116,1051
16,15,9,60,98,953
16,15,10,60,109,844
16,15,11,60,68,776
16,15,12,60,137,639
16,15,13,54,114,525
16,15,14,36,233,292
16,15,15,36,292,0
17,16,1,60,60,1940
17,16,2,60,55,1885
17,16,3,60,68,1817
17,16,4,60,74,1743
17,16,5,60,84,1659
17,16,6,60,56,1603
17,16,7,60,91,1512
17,16,8,60,64,1448
17,16,9,60,30,1418
17,16,10,60,57,1361
17,16,11,60,73,1288
17,16,12,60,65,1223
17,16,13,48,73,1150
17,16,14,48,74,1076
17,16,15,48,152,924
18,17,1,60,135,1865
18,17,2,60,139,1726
18,17,3,60,74,1652
18,17,4,60,113,1539
18,17,5,60,90,1449
18,17,6,60,144,1305
18,17,7,60,151,1154
18,17,8,60,130,1024
18,17,9,60,198,826
18,17,10,60,160,666
18,17,11,60,128,538
18,17,12,60,136,402
18,17,13,48,210,192
18,17,14,48,192,0
18,17,15,48,0,0
19,18,1,60,130,1870
19,18,2,60,165,1705
19,18,3,60,133,1572
19,18,4,60,108,1464
19,18,5,60,126,1338
19,18,6,60,137,1201
19,18,7,60,179,1022
19,18,8,60,127,895
19,18,9,60,108,787
19,18,10,60,182,605
19,18,11,60,119,486
19,18,12,60,171,315
19,18,13,48,187,128
19,18,14,36,128,0
19,18,15,36,0,0
20,19,1,60,96,1904
20,19,2,60,83,1821
20,19,3,60,108,1713
20,19,4,60,106,1607
20,19,5,60,58,1549
20,19,6,60,64,1485
20,19,7,60,89,1396
20,19,8,60,107,1289
20,19,9,60,88,1201
20,19,10,60,110,1091
20,19,11,60,25,1066
20,19,12,60,83,983
20,19,13,36,330,653
20,19,14,36,340,313
20,19,15,36,223,90
21,20,1,60,75,1925
21,20,2,60,54,1871
21,20,3,60,36,1835
21,20,4,60,55,1780
21,20,5,60,45,1735
21,20,6,60,47,1688
21,20,7,60,56,1632
21,20,8,60,61,1571
21,20,9,60,107,1464
21,20,10,60,73,1391
21,20,11,60,95,1296
21,20,12,54,92,1204
21,20,13,54,158,1046
21,20,14,54,173,873
21,20,15,54,129,744
22,21,1,60,77,1923
22,21,2,60,78,1845
22,21,3,60,61,1784
22,21,4,60,78,1706
22,21,5,60,97,1609
22,21,6,60,2,1607
22,21,7,60,40,1567
22,21,8,60,98,1469
22,21,9,60,71,1398
22,21,10,60,103,1295
22,21,11,60,93,1202
22,21,12,54,82,1120
22,21,13,54,128,992
22,21,14,54,106,886
22,21,15,48,82,804
23,22,1,60,92,1908
23,22,2,60,98,1810
23,22,3,60,59,1751
23,22,4,60,118,1633
23,22,5,60,66,1567
23,22,6,60,49,1518
23,22,7,60,80,1438
23,22,8,60,57,1381
23,22,9,60,111,1270
23,22,10,60,90,1180
23,22,11,60,58,1122
23,22,12,54,147,975
23,22,13,54,114,861
23,22,14,54,123,738
23,22,15,36,300,438
24,23,1,60,76,1924
24,23,2,60,82,1842
24,23,3,60,56,1786
24,23,4,60,92,1694
24,23,5,60,71,1623
24,23,6,60,85,1538
24,23,7,60,37,1501
24,23,8,60,93,1408
24,23,9,60,83,1325
24,23,10,60,80,1245
24,23,11,60,76,1169
24,23,12,54,66,1103
24,23,13,54,110,993
24,23,14,48,180,813
24,23,15,48,100,713
25,24,1,60,59,1941
25,24,2,60,52,1889
25,24,3,60,51,1838
25,24,4,60,39,1799
25,24,5,60,60,1739
25,24,6,60,52,1687
25,24,7,60,60,1627
25,24,8,60,61,1566
25,24,9,60,54,1512
25,24,10,60,35,1477
25,24,11,60,67,1410
25,24,12,54,50,1360
25,24,13,54,77,1283
25,24,14,48,109,1174
25,24,15,36,131,1043
26,25,1,60,60,1940
26,25,2,60,66,1874
26,25,3,60,66,1808
26,25,4,60,47,1761
26,25,5,60,89,1672
26,25,6,60,50,1622
26,25,7,60,58,1564
26,25,8,60,76,1488
26,25,9,60,49,1439
26,25,10,60,94,1345
26,25,11,60,97,1248
26,25,12,54,93,1155
26,25,13,54,57,1098
26,25,14,36,155,943
26,25,15,36,108,835
27,26,1,60,63,1937
27,26,2,60,63,1874
27,26,3,60,58,1816
27,26,4,60,57,1759
27,26,5,60,62,1697
27,26,6,60,83,1614
27,26,7,60,95,1519
27,26,8,60,75,1444
27,26,9,60,73,1371
27,26,10,60,89,1282
27,26,11,60,68,1214
27,26,12,54,134,1080
27,26,13,48,59,1021
27,26,14,48,113,908
27,26,15,48,113,795
28,27,1,60,91,1909
28,27,2,60,67,1842
28,27,3,60,85,1757
28,27,4,60,80,1677
28,27,5,60,144,1533
28,27,6,60,82,1451
28,27,7,60,71,1380
28,27,8,60,89,1291
28,27,9,60,75,1216
28,27,10,60,83,1133
28,27,11,60,63,1070
28,27,12,54,191,879
28,27,13,48,216,663
28,27,14,48,263,400
28,27,15,36,179,221
29,28,1,60,132,1868
29,28,2,60,159,1709
29,28,3,60,110,1599
29,28,4,60,94,1505
29,28,5,60,140,1365
29,28,6,60,82,1283
29,28,7,60,111,1172
29,28,8,60,162,1010
29,28,9,60,92,918
29,28,10,60,101,817
29,28,11,60,129,688
29,28,12,54,185,503
29,28,13,48,205,298
29,28,14,36,298,0
29,28,15,36,0,0
30,29,1,60,90,1910
30,29,2,60,108,1802
30,29,3,60,66,1736
30,29,4,60,64,1672
30,29,5,60,78,1594
30,29,6,60,126,1468
30,29,7,60,106,1362
30,29,8,60,107,1255
30,29,9,60,78,1177
30,29,10,60,50,1127
30,29,11,60,111,1016
30,29,12,54,122,894
30,29,13,36,194,700
30,29,14,36,372,328
30,29,15,36,215,113
31,30,1,60,71,1929
31,30,2,60,90,1839
31,30,3,60,86,1753
31,30,4,60,64,1689
31,30,5,60,88,1601
31,30,6,60,74,1527
31,30,7,60,33,1494
31,30,8,60,80,1414
31,30,9,60,56,1358
31,30,10,60,72,1286
31,30,11,60,92,1194
31,30,12,48,155,1039
31,30,13,48,148,891
31,30,14,48,56,835
31,30,15,48,109,726
32,31,1,60,73,1927
32,31,2,60,95,1832
32,31,3,60,60,1772
32,31,4,60,49,1723
32,31,5,60,117,1606
32,31,6,60,69,1537
32,31,7,60,88,1449
32,31,8,60,90,1359
32,31,9,60,86,1273
32,31,10,60,44,1229
